,name,sku,price,text,categories,units,weight,total_weight
0,Orezza Sparkling - 100cl,BEAG0032_UN,4.25,,"[{'id': 17, 'name': 'Águas &amp; Bebidas sem álcool', 'slug': 'aguas-bebidas-sem-alcool'}]",1,,
1,Chilled Pêssego/Alecrim by Lev - Pack 12x,BEAG0165_12_CX,34.00,,"[{'id': 17, 'name': 'Águas &amp; Bebidas sem álcool', 'slug': 'aguas-bebidas-sem-alcool'}]",1,,
2,Chilled Pêssego/Alecrim by Lev - Pack 30x,BEAG0165_30_CX,75.00,,"[{'id': 17, 'name': 'Águas &amp; Bebidas sem álcool', 'slug': 'aguas-bebidas-sem-alcool'}]",1,,
3,Plano Imunidade,KITPI0001,37.00,,"[{'id': 17, 'name': 'Águas &amp; Bebidas sem álcool', 'slug': 'aguas-bebidas-sem-alcool'}, {'id': 20, 'name': 'Chás Terapêuticos', 'slug': 'chas-terapeuticos'}, {'id': 18, 'name': 'Kits', 'slug': 'kits'}, {'id': 19, 'name': 'Suplementos &amp; Elixires', 'slug': 'suplementos-elixires'}]",1,,
4,ChariTea Mint Pack 8 Unidades,BEAG0153_CX,31.50,330 ml,"[{'id': 17, 'name': 'Águas &amp; Bebidas sem álcool', 'slug': 'aguas-bebidas-sem-alcool'}]",330,,
5,ChariTea Mint,BEAG0153_UN,4.50,330 ml,"[{'id': 17, 'name': 'Águas &amp; Bebidas sem álcool', 'slug': 'aguas-bebidas-sem-alcool'}]",330,,
6,Rosemary Water Sparkling 75 cl,BEAG0030_UN,6.00,,"[{'id': 17, 'name': 'Águas &amp; Bebidas sem álcool', 'slug': 'aguas-bebidas-sem-alcool'}]",1,,
7,"L'O Água Mineral Natural 1,5L",,2.50,"1,5 l","[{'id': 17, 'name': 'Águas &amp; Bebidas sem álcool', 'slug': 'aguas-bebidas-sem-alcool'}]",1,5,
8,Plano Detox Lev - 7 dias,BEAG0047_CX,25.00,,"[{'id': 17, 'name': 'Águas &amp; Bebidas sem álcool', 'slug': 'aguas-bebidas-sem-alcool'}, {'id': 68, 'name': 'Black Detox Water', 'slug': 'black-detox-water'}]",1,,
9,Oxygen Water,BEAG0021_UN,3.50,,"[{'id': 17, 'name': 'Águas &amp; Bebidas sem álcool', 'slug': 'aguas-bebidas-sem-alcool'}]",1,,
10,Lauretana 150cl,BEAG0012_UN,2.50,,"[{'id': 17, 'name': 'Águas &amp; Bebidas sem álcool', 'slug': 'aguas-bebidas-sem-alcool'}]",1,,
11,Ícelandic Glacial,BEAG0007_UN,4.50,,"[{'id': 17, 'name': 'Águas &amp; Bebidas sem álcool', 'slug': 'aguas-bebidas-sem-alcool'}]",1,,
12,Ícelandic Glacial - 500ml,BEAG0164_UN,2.50,,"[{'id': 17, 'name': 'Águas &amp; Bebidas sem álcool', 'slug': 'aguas-bebidas-sem-alcool'}]",1,,
13,Chilled by Lev - Pack 30x,BEAG0157_30_CX,75.00,,"[{'id': 17, 'name': 'Águas &amp; Bebidas sem álcool', 'slug': 'aguas-bebidas-sem-alcool'}]",1,,
14,Chilled by Lev - Pack 12x,BEAG0157_12_CX,34.00,,"[{'id': 17, 'name': 'Águas &amp; Bebidas sem álcool', 'slug': 'aguas-bebidas-sem-alcool'}]",1,,
15,Voss Morango - Gengibre Lata,BEAG0051_UN,3.00,"33,0 cl","[{'id': 17, 'name': 'Águas &amp; Bebidas sem álcool', 'slug': 'aguas-bebidas-sem-alcool'}]",33,0,
16,Voss Limão - Pepino Lata,BEAG0050_UN,3.00,"33,0 cl","[{'id': 17, 'name': 'Águas &amp; Bebidas sem álcool', 'slug': 'aguas-bebidas-sem-alcool'}]",33,0,
17,Voss Menta - Lima Lata,BEAG0049_UN,3.00,"33,0 cl","[{'id': 17, 'name': 'Águas &amp; Bebidas sem álcool', 'slug': 'aguas-bebidas-sem-alcool'}]",33,0,
18,Mondquelle,BEAG0014_UN,9.50,,"[{'id': 17, 'name': 'Águas &amp; Bebidas sem álcool', 'slug': 'aguas-bebidas-sem-alcool'}]",1,,
19,Oxygizer,BEAG0020_UN,4.75,,"[{'id': 17, 'name': 'Águas &amp; Bebidas sem álcool', 'slug': 'aguas-bebidas-sem-alcool'}]",1,,
20,Voss Tangerina - Citronela,BEAG0046_UN,3.50,,"[{'id': 17, 'name': 'Águas &amp; Bebidas sem álcool', 'slug': 'aguas-bebidas-sem-alcool'}]",1,,
21,Velleminfroy,BEAG0024_UN,8.25,,"[{'id': 17, 'name': 'Águas &amp; Bebidas sem álcool', 'slug': 'aguas-bebidas-sem-alcool'}]",1,,
22,Åre Water Sparkling,BEAG0026_UN,6.00,,"[{'id': 17, 'name': 'Águas &amp; Bebidas sem álcool', 'slug': 'aguas-bebidas-sem-alcool'}]",1,,
23,Voss Menta - Lima,BEAG0044_UN,3.50,,"[{'id': 17, 'name': 'Águas &amp; Bebidas sem álcool', 'slug': 'aguas-bebidas-sem-alcool'}]",1,,
24,L'O Aromatizada - Menta Pepino,BEAG0053_UN,2.75,"33,0 cl","[{'id': 17, 'name': 'Águas &amp; Bebidas sem álcool', 'slug': 'aguas-bebidas-sem-alcool'}]",33,0,
25,Orezza Natural - 100cl,BEAG0018_UN,4.25,,"[{'id': 17, 'name': 'Águas &amp; Bebidas sem álcool', 'slug': 'aguas-bebidas-sem-alcool'}]",1,,
26,Veen Effervescent,BEAG0034_UN,5.75,,"[{'id': 17, 'name': 'Águas &amp; Bebidas sem álcool', 'slug': 'aguas-bebidas-sem-alcool'}]",1,,
27,Veen Velvet,BEAG0023_UN,5.75,,"[{'id': 17, 'name': 'Águas &amp; Bebidas sem álcool', 'slug': 'aguas-bebidas-sem-alcool'}]",1,,
28,Voss Limão - Pepino,BEAG0045_UN,3.00,,"[{'id': 17, 'name': 'Águas &amp; Bebidas sem álcool', 'slug': 'aguas-bebidas-sem-alcool'}]",1,,
29,Voss Framboesa - Rosas,BEAG0043_UN,3.50,,"[{'id': 17, 'name': 'Águas &amp; Bebidas sem álcool', 'slug': 'aguas-bebidas-sem-alcool'}]",1,,
30,Solé Arte,BEAG0022_UN,5.50,,"[{'id': 17, 'name': 'Águas &amp; Bebidas sem álcool', 'slug': 'aguas-bebidas-sem-alcool'}]",1,,
31,Chateldon 1650,BEAG0029_UN,4.50,,"[{'id': 17, 'name': 'Águas &amp; Bebidas sem álcool', 'slug': 'aguas-bebidas-sem-alcool'}]",1,,
32,Silhouet ' - Merlot,BEBA0003_UN,14.00,750 ml,"[{'id': 17, 'name': 'Águas &amp; Bebidas sem álcool', 'slug': 'aguas-bebidas-sem-alcool'}]",750,,
33,Silhouet ' - Chardonnay,BEBA0004_UN,19.00,750 ml,"[{'id': 17, 'name': 'Águas &amp; Bebidas sem álcool', 'slug': 'aguas-bebidas-sem-alcool'}]",750,,
34,L'O Aromatizada - Gengibre,BEAG0054_UN,2.75,"33,0 cl","[{'id': 17, 'name': 'Águas &amp; Bebidas sem álcool', 'slug': 'aguas-bebidas-sem-alcool'}]",33,0,
35,L'O Aromatizada - Limão do Taiti,BEAG0055_UN,2.75,"33,0 cl","[{'id': 17, 'name': 'Águas &amp; Bebidas sem álcool', 'slug': 'aguas-bebidas-sem-alcool'}]",33,0,
36,L'O Aromatizada - Frutos Vermelhos,BEAG0052_UN,2.75,"33,0 cl","[{'id': 17, 'name': 'Águas &amp; Bebidas sem álcool', 'slug': 'aguas-bebidas-sem-alcool'}]",33,0,
37,Åre Water,BEAG0001_UN,6.00,,"[{'id': 17, 'name': 'Águas &amp; Bebidas sem álcool', 'slug': 'aguas-bebidas-sem-alcool'}]",1,,
38,Aur’a,BEAG0002_UN,9.00,,"[{'id': 17, 'name': 'Águas &amp; Bebidas sem álcool', 'slug': 'aguas-bebidas-sem-alcool'}]",1,,
39,Mehrner Quelle,BEAG0013_UN,4.75,,"[{'id': 17, 'name': 'Águas &amp; Bebidas sem álcool', 'slug': 'aguas-bebidas-sem-alcool'}]",1,,
40,Black Detox Water,BEAG0047_UN,4.00,,"[{'id': 17, 'name': 'Águas &amp; Bebidas sem álcool', 'slug': 'aguas-bebidas-sem-alcool'}, {'id': 68, 'name': 'Black Detox Water', 'slug': 'black-detox-water'}]",1,,
41,Pastel de Nata,COCD0012_UN,15.75,"Contém 4 unidades de 50g.
Peso neto: 200g.","[{'id': 21, 'name': 'Doces', 'slug': 'doces'}, {'id': 35, 'name': 'Sobremesas', 'slug': 'sobremesas'}]",4,50,200
42,Bolachas Duplo Morango,DOBO0076_CX,16.50,"Contém 12 saquetas de 18g.
Peso total líquido de 216g.","[{'id': 64, 'name': 'Barras, Bolachas &amp; Wafers', 'slug': 'barras-bolachas-wafers'}, {'id': 21, 'name': 'Doces', 'slug': 'doces'}]",12,18,216
43,Palmiers de Chocolate,PACA0032_CX,14,"Contém 3 saquetas de 45g.
Peso total líquido de 135g.","[{'id': 64, 'name': 'Barras, Bolachas &amp; Wafers', 'slug': 'barras-bolachas-wafers'}, {'id': 21, 'name': 'Doces', 'slug': 'doces'}, {'id': 25, 'name': 'Padaria &amp; Pastelaria', 'slug': 'padaria-pastelaria'}]",3,45,135
44,Bites de Chocolate Preto,DOBO0022_CX,12.50,"Contém 4 unidades de 24g.
Peso neto: 96g.","[{'id': 64, 'name': 'Barras, Bolachas &amp; Wafers', 'slug': 'barras-bolachas-wafers'}, {'id': 21, 'name': 'Doces', 'slug': 'doces'}]",4,24,96
45,Bites de Chocolate Branco,DOBO0021_CX,12.50,"Contém 4 unidades de 24g.
Peso neto: 96g.","[{'id': 64, 'name': 'Barras, Bolachas &amp; Wafers', 'slug': 'barras-bolachas-wafers'}, {'id': 21, 'name': 'Doces', 'slug': 'doces'}]",4,24,96
46,Mini Palitos de Chocolate Branco,DOBO0020_CX,14.00,"Contém 4 saquetas de 40g.
Peso total: 160g.","[{'id': 64, 'name': 'Barras, Bolachas &amp; Wafers', 'slug': 'barras-bolachas-wafers'}, {'id': 21, 'name': 'Doces', 'slug': 'doces'}]",4,40,160
47,Barra Crocante de Côco e Cacau,SNSS0012_CX,17.50,"Contém 5 unidades de 30g.
Peso total líquido de 150g.","[{'id': 64, 'name': 'Barras, Bolachas &amp; Wafers', 'slug': 'barras-bolachas-wafers'}, {'id': 21, 'name': 'Doces', 'slug': 'doces'}]",5,30,150
48,Barra Crocante de Chocolate Branco,SNSS0013_CX,17.50,"Contém 5 unidades de 30g.
Peso total líquido de 150g.","[{'id': 64, 'name': 'Barras, Bolachas &amp; Wafers', 'slug': 'barras-bolachas-wafers'}, {'id': 21, 'name': 'Doces', 'slug': 'doces'}]",5,30,150
49,Bebida de Café,BEBF0008_CX,16.00,Contém 4 unidades de 256g.,"[{'id': 27, 'name': 'Bebidas &amp; Iogurtes', 'slug': 'bebidas-iogurtes'}, {'id': 21, 'name': 'Doces', 'slug': 'doces'}]",4,256,
50,Cookie de Côco e Chocolate,DOBO0017_CX,12.50,"Contém 8 cookies de 17g.
Peso neto: 136g.","[{'id': 64, 'name': 'Barras, Bolachas &amp; Wafers', 'slug': 'barras-bolachas-wafers'}, {'id': 21, 'name': 'Doces', 'slug': 'doces'}]",8,17,136
51,Cookie de Chocolate e Pistacho,DOBO0018_CX,12.50,"Contém 8 cookies de 17g.
Peso neto: 136g.","[{'id': 64, 'name': 'Barras, Bolachas &amp; Wafers', 'slug': 'barras-bolachas-wafers'}, {'id': 21, 'name': 'Doces', 'slug': 'doces'}]",8,17,136
52,Gelado de Caramelo Salgado,COCD0010_CX,12.95,"Contém 3 unidades de 45g.
Peso total: 135.","[{'id': 21, 'name': 'Doces', 'slug': 'doces'}, {'id': 35, 'name': 'Sobremesas', 'slug': 'sobremesas'}]",3,45,135
53,Petit Gâteau de Chocolate,COCD0009_UN,14.95,"Contém 4 unidades de 40g.
Peso total: 160.","[{'id': 21, 'name': 'Doces', 'slug': 'doces'}, {'id': 35, 'name': 'Sobremesas', 'slug': 'sobremesas'}]",4,40,160
54,Barra Crocante de Avelã e Cacau,SNSS0011_CX,17.50,"Contém 5 unidades de 30g.
Peso total líquido de 150g.","[{'id': 64, 'name': 'Barras, Bolachas &amp; Wafers', 'slug': 'barras-bolachas-wafers'}, {'id': 21, 'name': 'Doces', 'slug': 'doces'}]",5,30,150
55,Mini Palitos de Avelã e Cacau,DOBO0019_CX,14.00,"Contém 4 saquetas de 40g.
Peso total: 160g.","[{'id': 64, 'name': 'Barras, Bolachas &amp; Wafers', 'slug': 'barras-bolachas-wafers'}, {'id': 21, 'name': 'Doces', 'slug': 'doces'}]",4,40,160
56,Shaker Lev,ACAC0001_UN,1.50,,"[{'id': 27, 'name': 'Bebidas &amp; Iogurtes', 'slug': 'bebidas-iogurtes'}, {'id': 34, 'name': 'Crepes', 'slug': 'crepes'}, {'id': 38, 'name': 'Omeletes', 'slug': 'omeletes'}, {'id': 35, 'name': 'Sobremesas', 'slug': 'sobremesas'}, {'id': 41, 'name': 'Sopas', 'slug': 'sopas'}]",1,,
57,Cookie Sport,SNSS0008_CX,11.95,"Contém 5 cookies de 40g.
Peso neto: 200g.
<div id=""gtx-trans"">
<div class=""gtx-trans-icon""></div>
</div>","[{'id': 64, 'name': 'Barras, Bolachas &amp; Wafers', 'slug': 'barras-bolachas-wafers'}, {'id': 21, 'name': 'Doces', 'slug': 'doces'}]",5,40,200
58,Creme de Chocolate,DOSO0006_UN,12.50,"Contém 3 unidades de 125g.
Peso total: 375g.
<div id=""gtx-trans"">
<div class=""gtx-trans-icon""></div>
</div>","[{'id': 21, 'name': 'Doces', 'slug': 'doces'}, {'id': 35, 'name': 'Sobremesas', 'slug': 'sobremesas'}]",3,125,375
59,Creme de Baunilha,DOSO0011_CX,12.50,"Contém 3 unidades de 125g.
Peso total: 375g.
<div id=""gtx-trans"">
<div class=""gtx-trans-icon""></div>
</div>","[{'id': 21, 'name': 'Doces', 'slug': 'doces'}, {'id': 35, 'name': 'Sobremesas', 'slug': 'sobremesas'}]",3,125,375
60,Palmiers,PACA0016_CX,13.50,"Contém 3 saquetas de 50g.
Peso total líquido de 150g.","[{'id': 64, 'name': 'Barras, Bolachas &amp; Wafers', 'slug': 'barras-bolachas-wafers'}, {'id': 21, 'name': 'Doces', 'slug': 'doces'}, {'id': 25, 'name': 'Padaria &amp; Pastelaria', 'slug': 'padaria-pastelaria'}]",3,50,150
61,Natas do Céu,COCD0006_UN,10.50,"Contém 3 unidades de 55g.
Peso total: 165g.

&nbsp;","[{'id': 21, 'name': 'Doces', 'slug': 'doces'}, {'id': 35, 'name': 'Sobremesas', 'slug': 'sobremesas'}]",3,55,165
62,Cheesecake Frutos Silvestres,COCD0003_UN,13.95,"Contém 3 fatias de 75g.
Peso neto: 225g.","[{'id': 21, 'name': 'Doces', 'slug': 'doces'}, {'id': 35, 'name': 'Sobremesas', 'slug': 'sobremesas'}]",3,75,225
63,Cheesecake Chocolate,COCD0002_UN,14.95,"Contém 3 fatias de 70g.
Peso neto: 210g.","[{'id': 21, 'name': 'Doces', 'slug': 'doces'}, {'id': 35, 'name': 'Sobremesas', 'slug': 'sobremesas'}]",3,70,210
64,Mousse de Oreo,COCD0007_UN,10.50,"Contém 3 unidades de 55g.
Peso total: 165.

&nbsp;","[{'id': 21, 'name': 'Doces', 'slug': 'doces'}, {'id': 35, 'name': 'Sobremesas', 'slug': 'sobremesas'}]",3,55,165
65,Pecados Lev de Morango com Natas,PAGP0004_UN,7.95,Peso Neto: 60g,"[{'id': 63, 'name': 'Chocolate, Gomas &amp; Rebuçados', 'slug': 'chocolates-gomas-rebucados'}, {'id': 21, 'name': 'Doces', 'slug': 'doces'}]",60,,
66,Mousse Tiramisu,COCD0008_UN,10.50,"Contém 3 unidades de 55g.
Peso total: 165.

&nbsp;","[{'id': 21, 'name': 'Doces', 'slug': 'doces'}, {'id': 35, 'name': 'Sobremesas', 'slug': 'sobremesas'}]",3,55,165
67,Pecados Lev de Melancia,PAGP0002_UN,7.95,Peso Neto: 60g,"[{'id': 63, 'name': 'Chocolate, Gomas &amp; Rebuçados', 'slug': 'chocolates-gomas-rebucados'}, {'id': 21, 'name': 'Doces', 'slug': 'doces'}]",60,,
68,Pecados Lev de Maracujá,PAGP0001_UN,7.95,Peso Neto: 60g,"[{'id': 63, 'name': 'Chocolate, Gomas &amp; Rebuçados', 'slug': 'chocolates-gomas-rebucados'}, {'id': 21, 'name': 'Doces', 'slug': 'doces'}]",60,,
69,"Pecados Lev de Lima, Limão e Laranja",PAGP0010_UN,7.95,Peso Neto: 60g,"[{'id': 63, 'name': 'Chocolate, Gomas &amp; Rebuçados', 'slug': 'chocolates-gomas-rebucados'}, {'id': 21, 'name': 'Doces', 'slug': 'doces'}]",60,,
70,Pecados Lev de Kiwi,PAGP0008_UN,7.95,Peso Neto: 60g,"[{'id': 63, 'name': 'Chocolate, Gomas &amp; Rebuçados', 'slug': 'chocolates-gomas-rebucados'}, {'id': 21, 'name': 'Doces', 'slug': 'doces'}]",60,,
71,Pecados Lev de Framboesa Lima,PAGP0009_UN,7.95,Peso Neto: 60g.,"[{'id': 63, 'name': 'Chocolate, Gomas &amp; Rebuçados', 'slug': 'chocolates-gomas-rebucados'}, {'id': 21, 'name': 'Doces', 'slug': 'doces'}]",60,,
72,Wafer Manteiga de Amendoim,SNSS0007_CX,8.00,"Contém 3 unidades de 41,1g.
Peso total: 123,3g.","[{'id': 64, 'name': 'Barras, Bolachas &amp; Wafers', 'slug': 'barras-bolachas-wafers'}, {'id': 21, 'name': 'Doces', 'slug': 'doces'}]",3,41,1
73,Barra Mirtilo e Romã,SNSS0004_CX,7.50,"Contém 3 unidades de 40g.
Peso total: 120g.","[{'id': 64, 'name': 'Barras, Bolachas &amp; Wafers', 'slug': 'barras-bolachas-wafers'}, {'id': 21, 'name': 'Doces', 'slug': 'doces'}]",3,40,120
74,Panquecas,DOCR0004_CX,16.50,"Contém 5 saquetas de 25g.
Peso total: 125g.","[{'id': 34, 'name': 'Crepes', 'slug': 'crepes'}, {'id': 21, 'name': 'Doces', 'slug': 'doces'}]",5,25,125
75,Snack de Chocolate Crocante,PACS0005_CX,12.95,"Contém 4 saquetas de 46g.
Peso total líquido de 184g.","[{'id': 63, 'name': 'Chocolate, Gomas &amp; Rebuçados', 'slug': 'chocolates-gomas-rebucados'}]",4,46,184
76,Snack Choco Color,PACS0013_CX,12.95,"Contém 4 saquetas de 35g.
Peso total líquido de 140g.","[{'id': 63, 'name': 'Chocolate, Gomas &amp; Rebuçados', 'slug': 'chocolates-gomas-rebucados'}]",4,35,140
77,Snack Choco Gold,PACS0021_CX,12.95,"Contém 4 saquetas de 45g.
Peso total líquido de 180g.","[{'id': 63, 'name': 'Chocolate, Gomas &amp; Rebuçados', 'slug': 'chocolates-gomas-rebucados'}]",4,45,180
78,Sobremesa de Bolacha,DOSO0007_CX,16.50,"Contém 5 saquetas de 26g.
Peso total: 130g.","[{'id': 21, 'name': 'Doces', 'slug': 'doces'}, {'id': 35, 'name': 'Sobremesas', 'slug': 'sobremesas'}]",5,26,130
79,Sobremesa de Pão de Ló,DOSO0001_CX,16.50,"Contém 5 saquetas de 28g.
Peso total: 140g.","[{'id': 21, 'name': 'Doces', 'slug': 'doces'}, {'id': 35, 'name': 'Sobremesas', 'slug': 'sobremesas'}]",5,28,140
80,Soft Cake de Limão,PACA0006_CX,14.00,"Contém 8 unidades de 20g.
Peso neto: 160g","[{'id': 64, 'name': 'Barras, Bolachas &amp; Wafers', 'slug': 'barras-bolachas-wafers'}, {'id': 21, 'name': 'Doces', 'slug': 'doces'}]",8,20,160
81,Soft Cake de Amêndoa,PACA0005_CX,14.00,"Contém 8 unidades de 20g.
Peso total neto de 160g","[{'id': 64, 'name': 'Barras, Bolachas &amp; Wafers', 'slug': 'barras-bolachas-wafers'}, {'id': 21, 'name': 'Doces', 'slug': 'doces'}]",8,20,160
82,Soft Cake de Caramelo,PACA0004_CX,14.00,"Contém 8 unidades de 20g.
Peso neto: 160g","[{'id': 64, 'name': 'Barras, Bolachas &amp; Wafers', 'slug': 'barras-bolachas-wafers'}, {'id': 21, 'name': 'Doces', 'slug': 'doces'}]",8,20,160
83,Wafer Avelã e Chocolate,SNSS0006_CX,8.00,"Contém 3 unidades de 41,1g.
Peso total líquido de 123,3g.","[{'id': 64, 'name': 'Barras, Bolachas &amp; Wafers', 'slug': 'barras-bolachas-wafers'}, {'id': 21, 'name': 'Doces', 'slug': 'doces'}]",3,41,1
84,Wafer de Baunilha,DOWA0003_CX,16.50,"Contém 5 saquetas de 35g.
Peso total: 175g.","[{'id': 64, 'name': 'Barras, Bolachas &amp; Wafers', 'slug': 'barras-bolachas-wafers'}, {'id': 21, 'name': 'Doces', 'slug': 'doces'}]",5,35,175
85,Wafer de Café,DOWA0001_CX,16.50,"Contém 5 unidades de 35,5g.
Peso total líquido de 177,5g.","[{'id': 64, 'name': 'Barras, Bolachas &amp; Wafers', 'slug': 'barras-bolachas-wafers'}, {'id': 21, 'name': 'Doces', 'slug': 'doces'}]",5,35,5
86,Wafer de Chocolate,DOWA0002_CX,16.50,"Contém 5 saquetas de 36g.
Peso total: 180g.","[{'id': 64, 'name': 'Barras, Bolachas &amp; Wafers', 'slug': 'barras-bolachas-wafers'}, {'id': 21, 'name': 'Doces', 'slug': 'doces'}]",5,36,180
87,Wafer Chocolate Branco e Framboesa,SNSS0005_CX,8.00,"Contém 3 unidades de 41,1g.
Peso total líquido de 123,3g.","[{'id': 64, 'name': 'Barras, Bolachas &amp; Wafers', 'slug': 'barras-bolachas-wafers'}, {'id': 21, 'name': 'Doces', 'slug': 'doces'}]",3,41,1
